Name;Adresse;Telefon;EMail;Website;Latitude;Longitude;Hinweis
Elektrizitätswerke Reutte AG;Großfeldstraße 10-14, 6600 Reutte;+43 5672 607325;kundencenter-reutte@ewr.at;ewr-energie.com/wasserversorgung;47,4933525;10,7253493;
EVN Wasser GmbH;EVN Platz, 2344 Maria Enzersdorf;+43 02236 44601 0;info@evnwasser.at;evnwasser.at;48,0997058;16,3120345;
eww ag;Stelzhamerstraße 27, 4600 Wels;+43 7242 493 100;info@eww.at;eww.at;48,1615397;14,0291447;
Gemeinde Bergland;3254 Bergland 1;+43 7416 54900;gemeinde@bergland.gv.at;bergland.gv.at/wasserversorgungsanlage;48,1580271;15,1490931;
Gemeinde Droß;Schloßstraße 250, 3552 Droß;+43 2719 8700;gemeinde@dross.gv.at;dross.gv.at;48,4647554;15,5728864;
Gemeinde Großraming;Kirchenplatz 1, 4463 Großraming;+43 7254 7575 21;gemeinde@grossraming.ooe.gv.at;grossraming.at;47,8869048;14,5493689;
Gemeinde Höchst Wasserversorgung;Hauptstraße 15, 6973 Höchst;+43 5578 7907;gemeindeamt@hoechst.at;hoechst.at/Wasserwerk;47,4594079;9,6405019;
Gemeinde Kapfenstein;8353 Kapfenstein 123;+43 315 72235;gemeinde@kapfenstein.at;kapfenstein.at;46,8856378;15,9741073;
Gemeinde Mittelberg;Walserstrasse 52, 6991 Riezlern;+43 5517 5315 0;verwaltung@gde-mittelberg.at;gde-mittelberg.at/wasser;47,3579687;10,1861103;
Gemeinde Oberndorf in Tirol;Josef-Hager Straße 15, 6372 Oberndorf in Tirol;+43 5352 6291014;gemeinde@oberndorf.tirol.gv.at;oberndorf-tirol.at;47,4998179;12,385096;
Gemeinde Stanz im Mürztal;8653 Stanz im Mürztal 61;+43 3865 8202;office@stanz.at;stanz.at;47,465874;15,5006164;
Gemeindeverband Horn Wasserversorgung;Rathausplatz 4, 3580 Horn;+43 2982 2656;post@horn.gv.at;horn.gv.at/wasserwerk;48,6654053;15,6564429;
Gemeindeverband Wasserversorgung Wolkersdorf Pillichsdorf;Kirschenallee 1a, 2120 Obersdorf;+43 2245 2450;gemeindeverband-wp@wasserversorgung-wp.at;unser-wasser.at;48,3789436;16,5206172;
Gemeindeverband Wasserversorgung Schneebergland;Willendorfer Straße 225, 2732 Würflach;+43 2620 2262;verband@wasser-gv.at;wasser-gv.at;47,7847576;16,0571853;
Gemeindewasserleitungsverband Unteres Pitten- und Schwarzatal;Brunnenstraße 532, 2823 Pitten;+43 2627 82446;office@wlvpitten.at;wlvpitten.at;47,7;16,2;
GemeindeWerke Telfs GmbH;Bahnhofstraße 40, 6410 Telfs;+43 5262 62330;office@gwtelfs.at;gwtelfs.at/trinkwasser;47,3028229;11,0708462;
HALLAG Kommunal GmbH;Augasse 6, 6060 Hall in Tirol;+43 5223 5855 0;info@hall.ag;hall.ag;47,2778478;11,5030834;
Holding Graz – Kommunale Dienstleistungen GmbH;Wasserwerkgasse 11, 8045 Graz;+43 316 887 7272;wasserwirtschaft@holding-graz.at;holding-graz.at/wasser;47,1007886;15,4122122;
Innsbrucker Kommunalbetriebe AG;Salurner Straße 11, 6020 Innsbruck;+43 800 500 502;kundenservice@ikb.at;ikb.at/wasser;47,2624606;11,3966446;
